Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista
@osolemio_cernusco,O Sole Mio,Cernusco Lombardone (LC),Pizzeria,n.d.,1,"Cercando nome e indirizzo escono solo Instagram, Facebook e i portali di categoria: nessun dominio suo",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di O Sole Mio e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Cavour 5, Cernusco Lombardone. Pizzeria napoletana.",
@lategliadimerate,La Teglia di Merate,Merate (LC),Pizzeria,n.d.,1,"Cercando nome e indirizzo escono solo Instagram, Facebook e i portali di categoria: nessun dominio suo",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di La Teglia di Merate e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?",Merate. Pizzeria artigianale in teglia.,
@beautydog.cantu,Toelettatura Beauty Dog,Cantù (CO),Toelettatura,529,1,"cercato «""Beauty Dog"" toelettatura Cantù Anzani» → virgilio, toelettature.net, idropet, reteimprese, paginegialle, cylex, trova-aperto, italiarecensioni, facebook beautydogcantu; beautydogtoelettatura.it esce in SERP ma aperto è di un'altra Beauty Dog a Ceresara (MN), Antonella Spolaore. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Toelettatura Beauty Dog"" Cantù»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Toelettatura Beauty Dog e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via F. Anzani 7, Cantù · 331 4982465 · beautydogcantu@gmail.com · lun-sab. Toelettatura e profumeria. Bio senza link; il sito omonimo trovato su Google è di Ceresara (MN), non loro.",2026-09-09-instagram-anello1-pet.csv
@toelettatura_la_zampa,Toelettatura La Zampa,"Cantù, fraz. Mirabello (CO)",Toelettatura,90,2,"cercato «""La Zampa"" toelettatura Cantù Mirabello via Umbria» → facebook toelettaturalazampa, instagram, lazampatoelettatura.com in SERP; lazampatoelettatura.com → NXDOMAIN su Cloudflare DoH (9/9) e nel resolver locale. In bio c'è ancora www.lazampatoelettatura.com [verifica-sito] motori «""Toelettatura La Zampa"" Cantù, fraz. Mirabello»: 5 risultati · domini: lazampatoelettatura.com (DNS morto); hackerone.com (non risponde); status.brave.app (vivo: Brave status) · directory: instagram.com, facebook.com",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Toelettatura La Zampa e il dominio lazampatoelettatura.com, che ha in bio e che compare ancora nelle ricerche, non si apre più.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Umbria 6, Cantù Mirabello · 366 9747489 · lazampa@yahoo.com. Cani, gatti e piccoli animali. ⚠ Solo 90 follower e 108 post: profilo vivo ma piccolo, il gancio è forte (dominio in bio morto). Attenzione: c'è anche una «Qua la Zampa» mobile a Cantù, è un'altra attività.",2026-09-09-instagram-anello1-pet.csv
@empetytoelettatura,"Empety, Chiara e Claudio",Olgiate Comasco (CO),Toelettatura,4160,1,"cercato «""Empety"" toelettatura Olgiate Comasco» → waze, facebook empetytoelettaturaamisuradizampa e empetycorsiditoelettatura, paginebianche, virgilio, reteimprese: nessun dominio proprio; empety.it e empetytoelettatura.it non risolvono (DoH). Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Empety, Chiara e Claudio"" Olgiate Comasco»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Empety, Chiara e Claudio e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Sempione 25, Olgiate Comasco · 340 9732241 (anche WhatsApp). 24 anni di esperienza, barboncini e spitz, corsi per toelettatori. Stessa titolare (Chiara Paone) del profilo gemello @empetysennacomasco (Senna Comasco, 713 follower): un solo messaggio, a questo.",2026-09-09-instagram-anello1-pet.csv
@laboratorio_di_toelettatura,Laboratorio di Toelettatura (Vanity & Dog),Como (CO),Toelettatura,559,1,"cercato «""Laboratorio di Toelettatura"" Como via Carloni» e «""Vanity & Dog"" Como Carloni» → facebook laboratorioditoelettaturacomo, toelettaturapro, nomadog, ordinetoelettatori: nessun dominio proprio; vanitydogs.info aperto non nomina Como. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Laboratorio di Toelettatura (Vanity & Dog)"" Como»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Laboratorio di Toelettatura (Vanity & Dog) e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Carloni 5, Como · 338 8205028. Salone da 150 mq con acqua ozonizzata; su Google risulta come Vanity & Dog (stesso indirizzo e telefono). Nella colonna nome tenere il nome del profilo.",2026-09-09-instagram-anello1-pet.csv
@thedogsclub_asilopercani,The Dogs' Club,Como (CO),Asilo per cani,503,1,"cercato «""The Dogs' Club"" asilo per cani Como Brusadelli» → facebook, lariosport, nomadog, reteimprese: nessun dominio proprio; thedogsclub.it aperto rimanda a dogsclub.it, che è il Dogs Club di Cassano Magnago (VA), un'altra attività. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""The Dogs' Club"" Como»: 4 risultati · domini: lariosport.it (DNS morto); hackerone.com (non risponde); status.brave.app (vivo: Brave status); thedogsclub.it (vivo, indovinato: Dogs Club); thedogsclub.com (vivo, indovinato: thedogsclub.com - Questo sito web è in vendita! - thedogsclub Risorse e informaz); dogsclub.it (vivo, indovinato: Dogs Club); dogsclub.eu (vivo, indovinato: Home - Dogs ClubDogs Club - Essere informati è un'arma fantastica) · directory: facebook.com · [letto a mano 9/9] thedogsclub.it: aperto: rimanda a dogsclub.it, Dogs Club di Cassano Magnago (VA), non è il Como. Resta gancio 1",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di The Dogs' Club e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","P.zza San Rocco 23, Como (in bio; su Google risulta ancora via Don Brusadelli 14) · 334 1846479 · thedogsclub.como@gmail.com. Educatrice cinofila, parco recintato da 750 mq, lun-ven 8-18.30. Il dominio thedogsclub.it è di un omonimo di Cassano Magnago.",2026-09-09-instagram-anello1-pet.csv
@contropelotoelettatura,Contropelo,Fenegrò (CO),Toelettatura,379,1,"cercato «""Contropelo"" toelettatura Fenegrò via Roma» → solo reteimprese (via Roma 24, 22070 Fenegrò) e omonimi Pelo e Contropelo di Novara, Pino Torinese, Creazzo: nessun dominio suo. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Contropelo"" Fenegrò»: 0 risultati · domini: contropelo.com (parcheggiato, indovinato); contropelo.net (vivo, indovinato: Magius Casino | Sito ufficiale in Italia con Bonus fino a 500€)",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Contropelo e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Roma 24, Fenegrò · 339 1261014. Toelettatura cani, gatti e conigli, più accessori.",2026-09-09-instagram-anello1-pet.csv
@unparadisoperiltuoamico,Un paradiso per il tuo amico (Emma),Bizzarone (CO),Pet sitting/pensione,2338,1,"cercato «""Un paradiso per il tuo amico"" Bizzarone dog sitter Emma» → pawshake.it (scheda 4511998), facebook emmapetsitterservice, dog-sitter-como.it: nessun dominio proprio. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Un paradiso per il tuo amico (Emma)"" Bizzarone»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Un paradiso per il tuo amico (Emma) e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Bizzarone (CO), al confine svizzero. Pet sitting a domicilio, asilo e pensione, parco recintato da 4.000 mq. Lavora su Pawshake: il sito le manca proprio.",2026-09-09-instagram-anello1-pet.csv
@toelettaturagiulietta,Toelettatura Giulietta,Varese (VA),Toelettatura,739,1,"cercato «""Toelettatura Giulietta"" Varese» e «""Giulietta"" toelettatura Varese Olivetto sito web» → icribis, empresite, toelettapp, reteimprese, registroaziende, varese-corsi: solo registri e directory, nessun dominio suo. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Toelettatura Giulietta"" Varese»: 17 risultati · domini: varese-corsi.it (vivo: Homepage - Varese Corsi - Corsi di cultura sport natura a Varese); bussola-pro.com (DNS morto); visurissima.it (vivo: Visurissima); guida-delle-societa.cybo.com (non risponde); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: instagram.com, reteimprese.it, informazione-aziende.it, empresite.it",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Toelettatura Giulietta e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Castoldi 2, Varese (in bio) · 346 3102505. Titolare Giulia Olivetto; i registri danno anche viale Sant'Antonio 73 e via Uberti 1: verificare l'indirizzo se serve.",2026-09-09-instagram-anello1-pet.csv
@comedincantotoelettatura,Come d'Incanto Toelettatura,Induno Olona (VA),Toelettatura,670,1,"cercato «""Come d'Incanto"" toelettatura Induno Olona» → facebook, virgilio, paginebianche, paginegialle, petlocal, reteimprese, oraridiapertura24, cuccioland: nessun dominio proprio. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Come d'Incanto Toelettatura"" Induno Olona»: 12 risultati · domini: hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: facebook.com, oraridiapertura24.it, paginegialle.it, reteimprese.it",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Come d'Incanto Toelettatura e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Gian Pietro Porro 90, Induno Olona · 375 9030442 · toelettaturadincanto@gmail.com. Sara Genoni e Martina Blandino, diplomate all'accademia Iv San Bernard.",2026-09-09-instagram-anello1-pet.csv
@salonedellecoccole_varese,Salone delle Coccole,Varese (VA),Toelettatura,226,2,"cercato «""Salone delle Coccole"" Amandorli Varese Giordani sito web» → ufficiocamerale, toelettature.net, informazione-aziende: nessun dominio suo; cercato «""Mondocane"" toelettatura Varese» → facebook mondocanevarese, misterimprese, reteimprese, paginegialle citano mondo-cane.it; mondo-cane.it → NXDOMAIN su Cloudflare DoH (9/9). Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Salone delle Coccole"" Varese»: 13 risultati · domini: ilsalonedellecoccole376049119.wordpress.com (piattaforma: IL SALONE DELLE COCCOLE – di Letizia Carbone); it.nextdoor.com (vivo: Nextdoor); montesacrotalenti.it (vivo: Montesacro Talenti - III Municipio (Roma) - Il Sito UFFICIALE); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: toelettature.net, informazione-aziende.it, paginegialle.it, aziende.virgilio.it · [letto a mano 9/9] ilsalonedellecoccole376049119.wordpress.com è un parrucchiere di Letizia Carbone, omonimo: non c'entra. Resta gancio 2 su mondo-cane.it",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Salone delle Coccole e il dominio mondo-cane.it della sua Mondocane, che compare ancora nelle ricerche, non si apre più.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Giordani 5, Varese · 0332 1432899. Stessa titolare (Simona Amandorli) della vecchia Mondocane di via Piemonte 6, «da oltre 25 anni»: il profilo @mondocanevarese non esiste più e il dominio mondo-cane.it è morto. 226 follower.",2026-09-09-instagram-anello1-pet.csv
@toelettatura_snoopy_gavirate,Toelettatura Snoopy,Gavirate (VA),Toelettatura,356,1,"cercato «""Toelettatura Snoopy"" Gavirate» e «... sito web Zandarin» → facebook Toelettaturasnoopygavirate, foursquare, nomadog, reteimprese, yelp, toelettatura.info: nessun dominio proprio. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Toelettatura Snoopy"" Gavirate»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Toelettatura Snoopy e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Piazza XX Settembre 3, Gavirate · 0332 745345 · WhatsApp 366 1570636. Titolare Franca Zandarin. Stripping e trimming, bassotti e schnauzer.",2026-09-09-instagram-anello1-pet.csv
@toelettatura_lovethedog,"Love the dog, Emanuela Massara","Tradate, fraz. Abbiate Guazzone (VA)",Toelettatura,264,1,"cercato «""Love the dog"" toelettatura Tradate Massara» e «... Abbiate Guazzone nuova apertura» → solo il profilo Instagram e directory generiche di Tradate: nessun dominio, nessuna pagina. Profilo aperto il 9/9: bio «Nuova Apertura», nessun link [verifica-sito] motori «""Love the dog, Emanuela Massara"" Tradate, fraz. Abbiate Guazzone»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Love the dog, Emanuela Massara e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Abbiate Guazzone (Tradate). Nuova apertura, 264 follower e 63 post: attività appena nata, senza nessuna presenza web fuori da Instagram.",2026-09-09-instagram-anello1-pet.csv
@dogeden.malnate,Dogeden ASD,Malnate (VA),Centro cinofilo,295,1,"cercato «""Dogeden"" Malnate centro cinofilo» → facebook asddogeden, prontopro, ilmiocane.org, oraridiapertura24, italiarecensioni: nessun dominio proprio. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Dogeden ASD"" Malnate»: 16 risultati · domini: ilmiocane.org (vivo: Home - Il Mio Cane | Portale sui Cani); varesenews.it (vivo: Varese News | il quotidiano online della provincia di Varese); eventbrite.it (vivo: Eventbrite - Scopri i migliori eventi locali e cose da fare); palestre.tuttosuitalia.com (vivo: Palestre in Italia); voofla.com (non risponde); malnate.org (DNS morto); localgymsandfitness.com (vivo: LocalGymsAndFitness); comune.malnate.va.it (vivo: Comune di Malnate); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: facebook.com, instagram.com, oraridiapertura24.it, italiarecensioni.com",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Dogeden ASD e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Buonarroti 4, Malnate · 347 2378076 · asddogeden@gmail.com. Addestramento, agility, canicross; è un'associazione sportiva (CSEN): chi decide è il presidente/istruttore.",2026-09-09-instagram-anello1-pet.csv
@luckylook_toelettaturaoriggio,Lucky Look Toelettatura,Origgio (VA),Toelettatura,545,1,"cercato «""Lucky Look"" toelettatura Origgio» → facebook luckylooktoelettaturaoriggio, toelettapp, reteimprese, wheree: nessun dominio proprio. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Lucky Look Toelettatura"" Origgio»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Lucky Look Toelettatura e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Dante Alighieri 30, Origgio · 345 2290033. Titolare Melania Sia. A due passi da Saronno.",2026-09-09-instagram-anello1-pet.csv
@scoobydoo_toelettatura_,Scoobydoo Toelettatura,Gallarate (VA),Toelettatura,2476,1,"cercato «""Scoobydoo"" toelettatura Gallarate» → facebook Scoobytolettatura, paginebianche, toelo, toelettatori.it, idropet, cylex, paginegialle: nessun dominio proprio. Profilo aperto il 9/9: il link in bio porta alla pagina Facebook [verifica-sito] motori «""Scoobydoo Toelettatura"" Gallarate»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Scoobydoo Toelettatura e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Francesco Baracca 19, Gallarate · 0331 777005 · 347 1127644. Roberta Varalli, 20 anni di attività, stile asiatico, pulizia dentale. In bio c'è Facebook, non un sito.",2026-09-09-instagram-anello1-pet.csv
@cuoreditoelettatura,Cuore di Toelettatura,Busto Arsizio (VA),Toelettatura,857,1,"cercato «""Cuore di Toelettatura"" Busto Arsizio» → facebook Cuoreditoelettatura, reteimprese, toelettaturapro: nessun dominio proprio. Profilo aperto il 9/9: nessun link in bio [verifica-sito] motori «""Cuore di Toelettatura"" Busto Arsizio»: 0 risultati · domini: nessuno risponde",2026-09-09,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Cuore di Toelettatura e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Quintino Sella 6, Busto Arsizio · 351 8470994. Bagni rilassanti, aromaterapia, stripping. 5 stelle su toelettaturapro.",2026-09-09-instagram-anello1-pet.csv
